Id,Sentence_Text,Letters,Words,Num_Sentences,Gulpease index
44,"Nel 1578 Emanuele Filiberto di Savoia, dopo avere spostato il centro politico e amministrativo dello Stato da Chambéry a Torino, volle anche portare il palladio religioso della dinastia, la Sìndone.",161,30,1,45.333333333333336
45,"Il Telo compì il viaggio ripiegato più volte, dentro questa piccola cassa di legno, che anticamente doveva essere ricoperta di scaglie preziose, forse madreperla e tartaruga.",145,26,1,44.76923076923077
46,"Con la concessione del culto ufficiale della Sìndone da parte del papa Giulio II nel 1506, che ne fissò la festa il giorno 4 di maggio, la notorietà e la devozione verso la reliquia crebbero, anche in conseguenza delle ostensioni periodiche celebrate a Chambéry.",210,44,1,48.09090909090909
47,Il 600 e il 700 sono i secoli nei quali maggiormente si sviluppa la devozione alla Sìndone.,68,17,1,66.64705882352942
48,Numerose sono le raffigurazioni che vengono fatte prodotte e fatte circolare.,66,11,1,56.27272727272727
49,"Nel 1735 terminava la costruzione della chiesa della Confratèrnita del Santissimo Sudario, sovrastante questa cripta.",97,15,1,44.333333333333336
50,Tra il 500 e il 600 sono stati scritti e pubblicati più di 100 testi interamente dedicati o che comunque trattano della Sìndone.,96,23,1,60.30434782608695
51,Dalla seconda metà del 700 le ostensioni iniziano a rarefarsi.,49,10,1,70.0
52,"Nell'800, dopo il regno di Carlo Felice, le ostensioni diventano ancora più rare, e solo per matrimoni dinastici.",88,18,1,56.77777777777778
53,La Sìndone non è l’unica immagine di Cristo ad essere stata oggetto di devozione in Europa a partire dal Medioevo.,93,20,1,57.5
54,"Dalla Veronica, al Mandylion, alla Sìndone di Besançon, nei secoli sono ricordate altre venerate immagini ritenute di Cristo.",104,18,1,47.888888888888886
55,"Di tutte, l’unica che ha resistito al vaglio della critica per le sue particolari caratteristiche, è la Sìndone di Torino.",99,20,1,54.5
56,In questa vetrina può ammirare una bellissima raffigurazione della deposizione dalla croce con l’ostensione della Sìndone.,105,16,1,42.125
57,Ai lati in monocromo le insegne della Passione presentate da angeli.,57,11,1,64.45454545454545
58,Si tratta di un’opera dell’inizio del 600 dipinta su seta da Giovanni Battista Della Rovere.,72,15,1,61.0
59,"L’iconografia della sepoltura nella Sìndone, di cui ha già visto un ingrandimento.",68,12,1,57.33333333333333
60,"Lo scopo della Confratèrnita, ideatrice del Museo, è sin dalle origini quello di diffondere il culto e la conoscenza della Sìndone.",108,21,1,51.857142857142854
61,"Nella teca di vetro può osservare la preziosa cassa di legno, rivestita con lamina d’argento e tempestata di pietre dure e smalti, in cui è stata conservata, arrotolata, la Sìndone dalla fine del XVI secolo sino al 1998.",173,38,1,51.36842105263158
62,Il coperchio è in legno ricoperto di tessuto.,37,8,1,80.25
63,"Si tratta di preziosa opera di committenza sabauda, che nel tempo ha subito alcune integrazioni e modifiche che tuttavia non hanno alterato la sua impostazione originale.",143,26,1,45.53846153846154
64,"Sotto alla teca sono esposti gli accessori che servivano alla conservazione della Sìndone all’interno della cassetta, eliminati al momento in cui si è adottato il nuovo sistema di conservazione.",163,29,1,43.13793103448276
65,Sono visibili il rullo in legno rivestito di seta su cui veniva arrotolato il lenzuolo e cuscinetti che venivano inseriti tra il rullo e il tessuto.,122,26,1,53.61538461538461
66,Dal 900 a oggi sono state celebrate sette ostensioni solenni.,48,10,1,71.0
67,"La prima avvenne nel 1931, in occasione del matrimonio del futuro re Umberto II.",61,14,1,66.85714285714286
68,Nel 1933 ne seguì un'altra per celebrare l’Anno Santo della Redenzione.,54,11,1,67.18181818181819
69,Nel 1973 si tenne invece un’ostensione televisiva.,38,7,1,77.57142857142857
70,Nel 1978 l'evento ricordò il quattrocentesimo anniversario dell’arrivo della Sìndone a Torino.,76,12,1,50.666666666666664
71,L'ostensione del 1998 commemorò alcune ricorrenze della storia religiosa piemontese e il centenario della prima fotografia del Telo.,109,18,1,45.111111111111114
72,"Nel 2000 si celebrò il grande Giubileo e, infine, l'elenco si chiude con l'ostensione del 2010.",67,16,1,65.875
73,Si può vedere come la Sìndone è conservata distesa in una grande teca ad atmosfera.,68,15,1,63.66666666666667
