Id,Lang,Title,Sentence_Text,Letters,Words,Num_Sentences,gulpease,flesch,gunning_fog
82,it,Macchina fotografica di Secondo Pia,"In questa nicchia è esposta la macchina fotografica che appartenne all’avvocato astigiano Secondo Pia con la quale scattò il 25 e il 28 maggio 1998 le prime fotografie della Sìndone.
Si tratta di un apparecchio appositamente costruito per il Pia da un artigiano torinese al fine di eseguire fotografie di grande formato.",258,52,2,50.92,178.65,22.71
83,it,L'altare della Sìndone,"Fotografia dell'altare della Sìndone in Duomo durante l'ostensione del 1998, fotografia effettuata da Secondo Pia.",92,15,1,47.67,189.35,27.33
84,it,Negativo Fotografico del volto,Ingrandimento del volto in negativo fotografico.,42,6,1,69.0,198.05,22.4
85,it,Realizzazioni artistiche,"In questa nicchia sono esposte alcune realizzazioni di artisti ispirate al volto dell’Uomo della Sìndone.
Si tratta di opere prodotte a partire dal 1931 sino ai giorni nostri.
Al centro la suggestiva opera “Resurrezione” del giovane artista contemporaneo polacco Bartosz Keska di Zakopane, che coglie il momento del ritorno alla vita di Cristo, espresso dalla sagoma fortemente luminosa che si anima al di sotto del telo sindonico.",353,67,3,49.75,182.27,21.47
86,it,L'inizio della ricerca scientifica sulla Sìndone,"La pubblicazione dei risultati della fotografie del Pia provocò un rinnovato interesse nei confronti della Sìndone, ma anche molte polemiche.",120,20,1,44.0,184.41,26.0
87,it,La formazione delle impronte,La Sìndone presenta due tipi di impronte: ematiche e corpòree.,51,10,1,68.0,194.63,24.0
88,it,Casco di rami spinosi,"Riproduzione di un casco di rami spinosi, che rimane l'ipotesi più accreditata della corona di Spine del racconto.",94,18,1,53.44,186.52,22.76
89,it,Particolare del volto,"Si può riconoscere la frattura del naso e un ematoma allo zigomo destro.
Sulla fronte sono evidenti delle colature di sangue provocate da un casco di rami spinosi, come quello esposto a fianco.",158,33,2,59.3,188.18,16.3
90,it,Oggetti relativi alla fotografia della Sìndone eseguita da Secondo Pia,"Secondo Pia, nato nel 1855 e morto nel 1941, fu uno dei più grandi fotografi dell’800.",56,16,1,72.75,188.98,11.4
91,it,"Conservazione della Sìndone, giugno/luglio 2002",In questa vetrina sono documentate le operazioni per la conservazione della Sìndone compiute nel giugno-luglio 2002.,95,16,1,48.38,188.38,23.9
